"Time","Velocity","Acceleration","Position"
0.01,"{4.327941176470588, -2.5967647058823546}","{0.043279411764705886, -0.025967647058823547}","{-0.9995672058823529, 1.9997403235294118}"
0.02,"{4.327941176470588, -2.5967647058823546}","{0.08655882352941177, -0.05193529411764709}","{-0.9987016176470588, 1.9992209705882353}"
0.03,"{4.327941176470588, -2.5967647058823546}","{0.12983823529411764, -0.07790294117647065}","{-0.9974032352941176, 1.9984419411764707}"
0.04,"{4.327941176470588, -2.5967647058823546}","{0.17311764705882354, -0.10387058823529419}","{-0.9956720588235294, 1.9974032352941178}"
0.05,"{4.327941176470588, -2.5967647058823546}","{0.21639705882352944, -0.12983823529411773}","{-0.9935080882352941, 1.9961048529411767}"
0.060000000000000005,"{4.327941176470588, -2.5967647058823546}","{0.25967647058823534, -0.15580588235294127}","{-0.9909113235294118, 1.9945467941176473}"
0.07,"{4.327941176470588, -2.5967647058823546}","{0.30295588235294124, -0.1817735294117648}","{-0.9878817647058824, 1.9927290588235298}"
0.08,"{4.327941176470588, -2.5967647058823546}","{0.34623529411764714, -0.20774117647058835}","{-0.9844194117647059, 1.9906516470588238}"
0.09,"{4.327941176470588, -2.5967647058823546}","{0.38951470588235304, -0.23370882352941189}","{-0.9805242647058824, 1.9883145588235296}"
0.09999999999999999,"{4.327941176470588, -2.5967647058823546}","{0.43279411764705894, -0.25967647058823545}","{-0.9761963235294118, 1.9857177941176472}"
0.10999999999999999,"{4.327941176470588, -2.5967647058823546}","{0.47607352941176484, -0.285644117647059}","{-0.9714355882352941, 1.9828613529411765}"
0.11999999999999998,"{4.327941176470588, -2.5967647058823546}","{0.5193529411764707, -0.31161176470588253}","{-0.9662420588235294, 1.9797452352941176}"
0.12999999999999998,"{4.327941176470588, -2.5967647058823546}","{0.5626323529411765, -0.33757941176470607}","{-0.9606157352941177, 1.9763694411764705}"
0.13999999999999999,"{4.327941176470588, -2.5967647058823546}","{0.6059117647058824, -0.3635470588235296}","{-0.9545566176470589, 1.9727339705882352}"
0.15,"{4.327941176470588, -2.5967647058823546}","{0.6491911764705882, -0.38951470588235315}","{-0.948064705882353, 1.9688388235294116}"
0.16,"{4.327941176470588, -2.5967647058823546}","{0.6924705882352941, -0.4154823529411767}","{-0.9411400000000001, 1.9646839999999999}"
0.17,"{4.327941176470588, -2.5967647058823546}","{0.7357499999999999, -0.44145000000000023}","{-0.9337825000000001, 1.9602694999999999}"
0.18000000000000002,"{4.327941176470588, -2.5967647058823546}","{0.7790294117647057, -0.46741764705882377}","{-0.925992205882353, 1.9555953235294117}"
0.19000000000000003,"{4.327941176470588, -2.5967647058823546}","{0.8223088235294116, -0.4933852941176473}","{-0.9177691176470588, 1.9506614705882352}"
0.20000000000000004,"{4.327941176470588, -2.5967647058823546}","{0.8655882352941174, -0.5193529411764709}","{-0.9091132352941177, 1.9454679411764706}"
0.21000000000000005,"{4.327941176470588, -2.5967647058823546}","{0.9088676470588233, -0.5453205882352945}","{-0.9000245588235295, 1.9400147352941177}"
0.22000000000000006,"{4.327941176470588, -2.5967647058823546}","{0.9521470588235291, -0.5712882352941181}","{-0.8905030882352942, 1.9343018529411766}"
0.23000000000000007,"{4.327941176470588, -2.5967647058823546}","{0.995426470588235, -0.5972558823529417}","{-0.8805488235294119, 1.9283292941176473}"
0.24000000000000007,"{4.327941176470588, -2.5967647058823546}","{1.038705882352941, -0.6232235294117653}","{-0.8701617647058825, 1.9220970588235295}"
0.25000000000000006,"{4.327941176470588, -2.5967647058823546}","{1.0819852941176469, -0.6491911764705889}","{-0.859341911764706, 1.9156051470588236}"
0.26000000000000006,"{4.327941176470588, -2.5967647058823546}","{1.1252647058823528, -0.6751588235294125}","{-0.8480892647058824, 1.9088535588235294}"
0.2700000000000001,"{4.327941176470588, -2.5967647058823546}","{1.1685441176470588, -0.7011264705882361}","{-0.8364038235294118, 1.901842294117647}"
0.2800000000000001,"{4.327941176470588, -2.5967647058823546}","{1.2118235294117647, -0.7270941176470597}","{-0.8242855882352942, 1.8945713529411763}"
0.2900000000000001,"{4.327941176470588, -2.5967647058823546}","{1.2551029411764707, -0.7530617647058833}","{-0.8117345588235295, 1.8870407352941174}"
