"Time","Velocity","Acceleration","Position"
0.01,"{0.9895863076923077, 0.9861150769230769, 1.9132192307692308}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.009895863076923077, 0.009861150769230768, 3.0191321923076924}"
0.02,"{0.9791726153846154, 0.9722301538461537, 1.8264384615384617}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.019687589230769232, 0.019583452307692307, 3.037396576923077}"
0.03,"{0.9687589230769231, 0.9583452307692306, 1.7396576923076925}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.029375178461538462, 0.029166904615384612, 3.054793153846154}"
0.04,"{0.9583452307692308, 0.9444603076923075, 1.6528769230769234}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.03895863076923077, 0.03861150769230769, 3.0713219230769235}"
0.05,"{0.9479315384615385, 0.9305753846153844, 1.5660961538461542}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.048437946153846154, 0.04791726153846153, 3.0869828846153853}"
0.060000000000000005,"{0.9375178461538463, 0.9166904615384612, 1.479315384615385}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.05781312461538462, 0.05708416615384614, 3.101776038461539}"
0.07,"{0.927104153846154, 0.9028055384615381, 1.3925346153846159}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.06708416615384616, 0.06611222153846152, 3.115701384615385}"
0.08,"{0.9166904615384617, 0.888920615384615, 1.3057538461538467}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.07625107076923078, 0.07500142769230768, 3.1287589230769233}"
0.09,"{0.9062767692307694, 0.8750356923076918, 1.2189730769230775}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.08531383846153848, 0.0837517846153846, 3.140948653846154}"
0.09999999999999999,"{0.8958630769230771, 0.8611507692307687, 1.1321923076923084}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.09427246923076925, 0.09236329230769229, 3.152270576923077}"
0.10999999999999999,"{0.8854493846153848, 0.8472658461538456, 1.0454115384615392}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.1031269630769231, 0.10083595076923074, 3.1627246923076924}"
0.11999999999999998,"{0.8750356923076925, 0.8333809230769225, 0.95863076923077}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.11187732000000002, 0.10916975999999996, 3.172311}"
0.12999999999999998,"{0.8646220000000002, 0.8194959999999993, 0.8718500000000007}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.12052354000000001, 0.11736471999999995, 3.1810295}"
0.13999999999999999,"{0.8542083076923079, 0.8056110769230762, 0.7850692307692314}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.1290656230769231, 0.12542083076923072, 3.1888801923076926}"
0.15,"{0.8437946153846156, 0.7917261538461531, 0.6982884615384621}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.13750356923076926, 0.13333809230769225, 3.1958630769230774}"
0.16,"{0.8333809230769234, 0.77784123076923, 0.6115076923076929}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.1458373784615385, 0.14111650461538455, 3.2019781538461545}"
0.17,"{0.8229672307692311, 0.7639563076923068, 0.5247269230769236}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.1540670507692308, 0.14875606769230762, 3.207225423076924}"
0.18000000000000002,"{0.8125535384615388, 0.7500713846153837, 0.4379461538461543}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.16219258615384619, 0.15625678153846145, 3.2116048846153853}"
0.19000000000000003,"{0.8021398461538465, 0.7361864615384606, 0.35116538461538505}","{-1.041369230769231, -1.3884923076923081, -8.678076923076924}","{0.17021398461538464, 0.16361864615384605, 3.215116538461539}"
